GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O14862	AIM2	part_of	GO:0097169	AIM2 inflammasome complex	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91VJ1|ensembl:ENSMUSP00000119465	9606	Ensembl		C
UniProtKB	O14862	AIM2	part_of	GO:0097169	AIM2 inflammasome complex	ECO:0000314	IDA	PMID:19158676		9606	UniProt		C
UniProtKB	O14862	AIM2	part_of	GO:0097169	AIM2 inflammasome complex	ECO:0000314	IDA	PMID:19158679		9606	UniProt		C
UniProtKB	P29466	CASP1	part_of	GO:0072557	IPAF inflammasome complex	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P29452	9606	UniProt		C
UniProtKB	P29466	CASP1	part_of	GO:0072557	IPAF inflammasome complex	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P29452|ensembl:ENSMUSP00000027015	9606	Ensembl		C
UniProtKB	P29466	CASP1	part_of	GO:0072557	IPAF inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048050	9606	GO_Central		C
UniProtKB	P29466	CASP1	part_of	GO:0072558	NLRP1 inflammasome complex	ECO:0000314	IDA	PMID:12191486		9606	UniProt		C
UniProtKB	P29466	CASP1	part_of	GO:0072559	NLRP3 inflammasome complex	ECO:0000314	IDA	PMID:15030775		9606	UniProt		C
UniProtKB	P29466	CASP1	part_of	GO:0097169	AIM2 inflammasome complex	ECO:0000314	IDA	PMID:19158676		9606	UniProt		C
UniProtKB	P49662	CASP4	part_of	GO:0061702	inflammasome complex	ECO:0000322	IEA	GO_REF:0000037	UniProtKB-KW:KW-1271	9606	UniProt		C
UniProtKB	P49662	CASP4	part_of	GO:0061702	inflammasome complex	ECO:0000322	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0488	9606	UniProt		C
UniProtKB	P49662	CASP4	part_of	GO:0072557	IPAF inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048050	9606	GO_Central		C
UniProtKB	P49662	CASP4	part_of	GO:0072559	NLRP3 inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048050	9606	GO_Central		C
UniProtKB	P49662	CASP4	part_of	GO:0097169	AIM2 inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048050	9606	GO_Central		C
UniProtKB	P51878	CASP5	NOT|part_of	GO:0072557	IPAF inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048077	9606	GO_Central		C
UniProtKB	P51878	CASP5	NOT|part_of	GO:0072559	NLRP3 inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048077	9606	GO_Central		C
UniProtKB	P51878	CASP5	NOT|part_of	GO:0097169	AIM2 inflammasome complex	ECO:0000318	IBA	PAINT_REF:10454	PANTHER:PTN000048077	9606	GO_Central		C
